Number of Persons in Household:,,1,2,3,4,5,6,7,8
Tehama County,Very Low Income,24500,28000,31500,34950,37750,40550,43350,46150
Area Median Income:,Low Income,39150,44750,50350,55900,60400,64850,69350,73800
"$70,700",Median Income,49500,56550,63650,70700,76350,82000,87650,93300
,Moderate Income,59400,67900,76350,84850,91650,98450,105200,112000
,Extremely Low,14700,17240,21720,26200,30680,35160,39640,44120
Trinity County,Very Low Income,24500,28000,31500,34950,37750,40550,43350,46150
Area Median Income:,Low Income,39150,44750,50350,55900,60400,64850,69350,73800
"$70,700",Median Income,49500,56550,63650,70700,76350,82000,87650,93300
,Moderate Income,59400,67900,76350,84850,91650,98450,105200,112000
,Extremely Low,14700,17240,21720,26200,30680,35160,39640,44120
Tulare County,Very Low Income,24500,28000,31500,34950,37750,40550,43350,46150
Area Median Income:,Low Income,39150,44750,50350,55900,60400,64850,69350,73800
"$70,700",Median Income,49500,56550,63650,70700,76350,82000,87650,93300
,Moderate Income,59400,67900,76350,84850,91650,98450,105200,112000
,Extremely Low,14900,17240,21720,26200,30680,35160,39640,44120
Tuolumne County,Very Low Income,24850,28400,31950,35450,38300,41150,44000,46800
Area Median Income:,Low Income,39700,45400,51050,56700,61250,65800,70350,74850
"$71,600",Median Income,50100,57300,64450,71600,77350,83050,88800,94500
,Moderate Income,60150,68700,77300,85900,92750,99650,106500,113400
,Extremely Low,23700,27100,30500,33850,36600,39300,42000,44700
Ventura County,Very Low Income,39550,45200,50850,56450,61000,65500,70000,74550
Area Median Income:,Low Income,63250,72300,81350,90350,97600,104850,112050,119300
"$97,800",Median Income,68450,78250,88000,97800,105600,113450,121250,129100
,Moderate Income,82150,93900,105600,117350,126750,136150,145500,154900
,Extremely Low,19450,22200,25000,27750,30680,35160,39640,44120
Yolo County,Very Low Income,32400,37000,41650,46250,49950,53650,57350,61050
Area Median Income:,Low Income,51800,59200,66600,74000,79950,85850,91800,97700
"$92,500",Median Income,64750,74000,83250,92500,99900,107300,114700,122100
,Moderate Income,77700,88800,99900,111000,119900,128750,137650,146500
,Extremely Low,14700,17240,21720,26200,30680,35160,39640,44120
Yuba County,Very Low Income,24500,28000,31500,34950,37750,40550,43350,46150
Area Median Income:,Low Income,39150,44750,50350,55900,60400,64850,69350,73800
"$75,000",Median Income,52500,60000,67500,75000,81000,87000,93000,99000
,Moderate Income,63000,72000,81000,90000,97200,104400,111600,118800
,,,,,,,,,
